decile,n,conversion_rate_treated,conversion_rate_control,observed_uplift,mean_predicted_uplift
1,1500,0.7714016933207902,0.2997711670480549,0.47163052627273533,0.44551734611893845
2,1500,0.6641148325358852,0.389010989010989,0.2751038435248962,0.272387440646993
3,1500,0.6076320939334638,0.3410041841004184,0.26662790983304546,0.17508694822967716
4,1500,0.48333333333333334,0.3357142857142857,0.14761904761904765,0.11202729388704456
5,1500,0.34976303317535545,0.3438202247191011,0.005942808456254334,0.04156132403693774
6,1500,0.2019900497512438,0.2,0.001990049751243783,-0.003062621955986297
7,1500,0.349862258953168,0.35036496350364965,-0.0005027045504816252,-0.010456841672469781
8,1500,0.41579448144624165,0.4365256124721604,-0.020731131025918725,-0.01607485048622063
9,1500,0.22960151802656548,0.32286995515695066,-0.09326843713038518,-0.06065939192876769
10,1500,0.23224568138195778,0.4104803493449782,-0.1782346679630204,-0.11074766091390226
